id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
9838,Keep Rollin!,21-11-2017,Bullid Games,Bullid Games,Casual;Indie,Single-player;Steam Achievements;Steam Leaderboards,165,79%,1,1,1
9839,Roman The Worm,17-07-2018,MediaTale,MediaTale,Action;Adventure;Casual;Simulation,Single-player;Steam Achievements,85,81%,1,0,0
9840,Asylamba: Influence,23-05-2018,Gil Clavien;Noé Zufferey;Jacky Casas,RTFM Corp.,Casual;Indie;Strategy,Single-player;Steam Achievements;Stats;Includes level editor,219,88%,1,1,1
9841,Momonga Pinball Adventures,16-09-2016,Paladin Studios;Seaven Studio,Plug In Digital,Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards,299,97%,1,1,0
9842,Wacky Spores: The Chase,10-02-2017,Lorenzo Bellincampi,Lorenzo Bellincampi,Casual;RPG;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,359,100%,1,0,0
9843,Happy Penguin VR,29-03-2017,Bellcat Game,Bellcat Game,Action;Adventure;Indie;Simulation;Sports,Single-player,42,74%,1,0,0
9844,Super Sportmatchen,23-05-2018,Kaj Forell Video Game Brand,DANGEN Entertainment,Action;Indie;Sports,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Full controller support,459,100%,1,0,0
9845,Brute,17-05-2017,MGFM,MGFM,Action;Indie,Single-player;Steam Trading Cards,259,85%,1,0,0
9846,Vertiginous Golf,06-05-2015,Kinelco & Lone Elk Creative,Fellow Traveller,Indie;Sports,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,349,96%,1,1,1
9847,Loops of Zen,10-08-2017,"Strength in Numbers Studios, Inc","Strength in Numbers Studios, Inc",Casual;Indie,Single-player;Steam Trading Cards,169,95%,1,1,0
9848,Find Out,16-02-2016,Vorobiov Vadym,Bitlock Studio,Action;Adventure;Casual;Indie;Simulation,Single-player;Steam Trading Cards;Partial Controller Support,58,93%,1,0,0
9849,ZombieZoid® Zenith,30-09-2015,Adhoc Games,Adhoc Games,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,299,76%,1,0,0
9850,Gerty,03-12-2018,Spawn Point OSK,Spawn Point OSK,Action;Indie;RPG;Early Access,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,459,90%,1,1,1
9851,A Turd's Life,14-03-2018,Bergie Games,Bergie Games,Action;Early Access,Single-player,125,91%,1,0,0
9852,Capsule,29-05-2014,Adam Saltsman;Robin Arnott,Finji,Indie,Single-player;Steam Achievements;Partial Controller Support,125,91%,1,0,0
9853,AGON - The Mysterious Codex (Trilogy),18-11-2015,Private Moon Studios,Microids Indie,Adventure,Single-player;Steam Trading Cards,369,91%,1,0,0
9854,Rulers of Nations,16-07-2014,Eversim,Eversim,Strategy,Single-player;Multi-player,565,100%,1,0,0
9855,Towards The Pantheon,16-05-2018,Connor O.R.T. Linning,Connor O.R.T. Linning,Adventure;Casual;Indie;RPG;Strategy,Single-player;Full controller support,199,63%,1,0,0
9856,in My MIND.,04-09-2018,P.S.B (iNsOoL),PsychoFlux Entertainment,Action;Casual;Indie,Single-player,55,72%,1,0,0
9857,Witching Tower VR,25-10-2018,Daily Magic Productions,Daily Magic Productions,Action;Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,529,69%,1,0,0
9858,Whispering Flames,17-11-2018,Red Cattus,Red Cattus,Casual;Indie,Single-player;Steam Achievements,125,62%,1,0,0
9859,Ikao The Lost Souls,06-02-2019,YukiOstudio,YukiOstudio,Adventure;Indie,Single-player;Full controller support,85,76%,1,0,0
9860,#CuteSnake 2,20-04-2018,Sunrise9,Sunrise9,Casual;Indie;Simulation,Single-player;Steam Achievements,42,100%,1,0,0
9861,Jade's Journey,09-12-2016,Warfare Studios,Warfare Studios,Adventure;Casual;Indie;RPG;Strategy,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,229,100%,1,0,0
9862,One Bit Arena,16-03-2018,Nefrace,Red twice potato,Action;Casual;Indie;Sports,Single-player,125,90%,1,0,0
9863,Odysseus Kosmos and his Robot Quest: Episode 1,12-01-2018,Pavel Kostin,HeroCraft,Indie,Single-player;Steam Achievements,Free to play,100%,1,0,0
9864,Kult of Ktulu: Olympic,09-02-2017,Grand Cauldron,Grand Cauldron,Adventure;Casual,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,299,100%,1,1,0
9865,One Dog Story,28-04-2017,Big Way Games,Big Way,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,399,96%,1,1,1
9866,Super Slam Dunk Touchdown,16-12-2015,Tipping Goat LLC,Tipping Goat LLC,Action;Indie;Sports,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support,480,90%,1,0,0
9867,Marooners,15-09-2016,M2H,M2H,Action;Casual;Indie,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,480,100%,1,1,1
9868,Code World,11-09-2017,Fewjix,Fewjix,Indie,Single-player,199,90%,1,0,0
9869,Ellen,15-02-2019,Red Mount Media Intl;Antarsoft,Red Mount Media Intl,Indie,Single-player;Steam Achievements,349,76%,1,0,0
9870,Test your knowledge: Cities,14-06-2018,Laush Dmitriy Sergeevich,Laush Studio,Casual,Single-player;Steam Achievements,165,100%,1,0,0
9871,BVRGER VAN,27-07-2018,Patchwork Games,Patchwork Games,Casual;Indie;Strategy,Single-player,42,100%,1,0,0
9872,I.F.O,11-08-2017,Total Battery,Total Battery,Action;Casual;Indie,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,125,100%,1,1,0
9873,Grimsfield,12-05-2016,Adam Wells,Adam Wells,Adventure;Indie,Single-player,229,88%,1,1,0
9874,Galacide,28-07-2015,Puny Human,Puny Human,Action;Indie,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,349,100%,1,0,1
9875,Entangle,17-02-2017,Blake Garner,Blake Garner,Casual;Indie,Single-player;Steam Achievements,299,94%,1,0,0
9876,TETRA's Escape,10-08-2018,ABX Games Studio,Ratalaika Games S.L.,Adventure;Casual;Indie,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,199,92%,1,0,0
9877,Princess Isabella,15-04-2014,Gogii Games,Strategy First,Adventure,Single-player,259,100%,1,0,0
9878,Impossiball,08-08-2017,Dark Duo Games,Dark Duo Games,Action;Casual;Indie;Sports,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats,52,63%,1,1,1
9879,Alchemic Jousts,16-12-2016,Lunatic Pixels,Lunatic Pixels,Action;Casual;Indie;Strategy,Single-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,329,80%,1,0,0
9880,Incoming Forces,06-03-2014,Rage Software,Funbox Media Ltd,Action,Single-player;Steam Trading Cards;Partial Controller Support,125,92%,1,0,0
9881,One Night You're Crazy,21-09-2017,Chris Antoni,Chris Antoni,Action;Indie;Simulation,Single-player;Online Multi-Player,58,82%,1,0,0
9882,ROGO,17-12-2018,Happy Snake,Happy Snake Games,Action,Single-player;Steam Achievements,85,66%,1,0,0
9883,Ravva and the Cyclops Curse,15-01-2019,Galope,The Hidden Levels,Action;Adventure;Indie,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,125,92%,1,1,1
9884,Gunlock,07-12-2017,Aleksandar Kuzmanovic Games,Aleksandar Kuzmanovic Games,Action;Indie;Strategy,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,42,70%,1,0,0
9885,Worms Pinball,19-10-2011,Team17 Digital Ltd,Team17 Digital Ltd,Casual,Single-player,349,92%,1,0,0
9886,Trivia Vault: Mini Mixed Trivia 3,19-09-2017,Ripknot Systems,Ripknot Systems,Action;Casual;Indie;Simulation;Strategy,Single-player;Steam Achievements,700,75%,1,0,0
9887,Stickman: Fidget Spinner Rush,06-04-2018,JFL Games,JFL Games,Action;Casual;Indie,Single-player;Shared/Split Screen,42,100%,1,0,0
9888,Army of Pixels,29-10-2015,Gergely Zsolnay;Richard Markos,Gergely Zsolnay;Richard Markos,Indie;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,259,90%,1,0,0
9889,W. T. B.,09-08-2018,CSM,W.T.B.,Casual;Indie,Single-player;Steam Achievements,42,84%,1,0,0
9890,Lucidity™,07-10-2009,LucasArts,LucasArts;Lucasfilm;Disney Interactive,Casual,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,219,100%,1,0,0
